store_id,model_id,segment,forecast_demand,safety_stock,recommended_inventory,current_inventory,inventory_gap,excess_inventory,shortage_inventory,recommendation
S03,P043,Premium,68,14,82,89,7,7,0,MARKDOWN
S03,P053,Flagship,62,12,74,75,1,1,0,MARKDOWN
S03,P055,Flagship,62,12,74,80,6,6,0,MARKDOWN
S03,P057,Flagship,63,13,76,85,9,9,0,MARKDOWN
S04,P001,Budget,187,37,224,203,-21,0,21,NORMAL
S04,P003,Budget,186,37,223,280,57,57,0,MARKDOWN
S04,P005,Budget,264,53,317,271,-46,0,46,NORMAL
S04,P021,Mid-range,187,37,224,243,19,19,0,MARKDOWN
S04,P023,Mid-range,186,37,223,178,-45,0,45,NORMAL
S04,P025,Mid-range,186,37,223,237,14,14,0,MARKDOWN
S04,P041,Premium,233,47,280,306,26,26,0,MARKDOWN
S04,P043,Premium,124,25,149,113,-36,0,36,NORMAL
S04,P053,Flagship,76,15,91,95,4,4,0,MARKDOWN
S04,P055,Flagship,98,20,118,96,-22,0,22,NORMAL
S04,P057,Flagship,161,32,193,168,-25,0,25,NORMAL
S05,P001,Budget,260,52,312,394,82,82,0,MARKDOWN
S05,P003,Budget,272,54,326,407,81,81,0,MARKDOWN
S05,P005,Budget,419,84,503,357,-146,0,146,NORMAL
S05,P021,Mid-range,255,51,306,327,21,21,0,MARKDOWN
S05,P023,Mid-range,253,51,304,238,-66,0,66,NORMAL
S05,P025,Mid-range,255,51,306,375,69,69,0,MARKDOWN
S05,P041,Premium,171,34,205,253,48,48,0,MARKDOWN
S05,P043,Premium,90,18,108,100,-8,0,8,NORMAL
S05,P053,Flagship,62,12,74,88,14,14,0,MARKDOWN
S05,P055,Flagship,62,12,74,57,-17,0,17,NORMAL
S05,P057,Flagship,63,13,76,88,12,12,0,MARKDOWN
S06,P001,Budget,187,37,224,164,-60,0,60,NORMAL
S06,P003,Budget,187,37,224,229,5,5,0,MARKDOWN
S06,P005,Budget,263,53,316,359,43,43,0,MARKDOWN
S06,P021,Mid-range,187,37,224,231,7,7,0,MARKDOWN
S06,P023,Mid-range,187,37,224,246,22,22,0,MARKDOWN
S06,P025,Mid-range,186,37,223,284,61,61,0,MARKDOWN
S06,P041,Premium,244,49,293,292,-1,0,1,NORMAL
S06,P043,Premium,124,25,149,120,-29,0,29,NORMAL
S06,P053,Flagship,66,13,79,87,8,8,0,MARKDOWN
S06,P055,Flagship,103,21,124,92,-32,0,32,NORMAL
S06,P057,Flagship,159,32,191,137,-54,0,54,NORMAL
S07,P001,Budget,257,51,308,287,-21,0,21,NORMAL
S07,P003,Budget,276,55,331,323,-8,0,8,NORMAL
S07,P005,Budget,408,82,490,620,130,130,0,MARKDOWN
S07,P021,Mid-range,255,51,306,236,-70,0,70,NORMAL
S07,P023,Mid-range,255,51,306,330,24,24,0,MARKDOWN
S07,P025,Mid-range,255,51,306,349,43,43,0,MARKDOWN
S07,P041,Premium,168,34,202,154,-48,0,48,NORMAL
S07,P043,Premium,73,15,88,88,0,0,0,NORMAL
S07,P053,Flagship,62,12,74,94,20,20,0,MARKDOWN
S07,P055,Flagship,62,12,74,80,6,6,0,MARKDOWN
S07,P057,Flagship,80,16,96,84,-12,0,12,NORMAL
S08,P001,Budget,258,52,310,364,54,54,0,MARKDOWN
S08,P003,Budget,259,52,311,235,-76,0,76,NORMAL
S08,P005,Budget,413,83,496,364,-132,0,132,NORMAL
S08,P021,Mid-range,255,51,306,230,-76,0,76,NORMAL
S08,P023,Mid-range,255,51,306,283,-23,0,23,NORMAL
S08,P025,Mid-range,255,51,306,363,57,57,0,MARKDOWN
S08,P041,Premium,165,33,198,153,-45,0,45,NORMAL
S08,P043,Premium,104,21,125,143,18,18,0,MARKDOWN
S08,P053,Flagship,62,12,74,54,-20,0,20,NORMAL
S08,P055,Flagship,62,12,74,75,1,1,0,MARKDOWN
S08,P057,Flagship,63,13,76,57,-19,0,19,NORMAL
S09,P001,Budget,260,52,312,336,24,24,0,MARKDOWN
S09,P003,Budget,279,56,335,326,-9,0,9,NORMAL
S09,P005,Budget,412,82,494,519,25,25,0,MARKDOWN
S09,P021,Mid-range,255,51,306,342,36,36,0,MARKDOWN
S09,P023,Mid-range,255,51,306,271,-35,0,35,NORMAL
S09,P025,Mid-range,255,51,306,340,34,34,0,MARKDOWN
S09,P041,Premium,169,34,203,214,11,11,0,MARKDOWN
S09,P043,Premium,91,18,109,140,31,31,0,MARKDOWN
S09,P053,Flagship,62,12,74,96,22,22,0,MARKDOWN
S09,P055,Flagship,62,12,74,86,12,12,0,MARKDOWN
S09,P057,Flagship,63,13,76,92,16,16,0,MARKDOWN
S10,P001,Budget,259,52,311,396,85,85,0,MARKDOWN
S10,P003,Budget,259,52,311,260,-51,0,51,NORMAL
S10,P005,Budget,412,82,494,529,35,35,0,MARKDOWN
S10,P021,Mid-range,255,51,306,343,37,37,0,MARKDOWN
S10,P023,Mid-range,255,51,306,239,-67,0,67,NORMAL
S10,P025,Mid-range,255,51,306,279,-27,0,27,NORMAL
S10,P041,Premium,170,34,204,199,-5,0,5,NORMAL
S10,P043,Premium,77,15,92,92,0,0,0,NORMAL
S10,P053,Flagship,62,12,74,60,-14,0,14,NORMAL
S10,P055,Flagship,62,12,74,92,18,18,0,MARKDOWN
S10,P057,Flagship,62,12,74,81,7,7,0,MARKDOWN
S11,P001,Budget,385,77,462,370,-92,0,92,NORMAL
S11,P003,Budget,372,74,446,360,-86,0,86,NORMAL
S11,P005,Budget,525,105,630,487,-143,0,143,NORMAL
S11,P021,Mid-range,187,37,224,182,-42,0,42,NORMAL
S11,P023,Mid-range,187,37,224,207,-17,0,17,NORMAL
S11,P025,Mid-range,188,38,226,242,16,16,0,MARKDOWN
S11,P041,Premium,110,22,132,94,-38,0,38,NORMAL
S11,P043,Premium,62,12,74,61,-13,0,13,NORMAL
S11,P053,Flagship,49,10,59,62,3,3,0,MARKDOWN
S11,P055,Flagship,42,8,50,48,-2,0,2,NORMAL
S11,P057,Flagship,51,10,61,53,-8,0,8,NORMAL
S12,P001,Budget,372,74,446,407,-39,0,39,NORMAL
S12,P003,Budget,373,75,448,476,28,28,0,MARKDOWN
S12,P005,Budget,510,102,612,466,-146,0,146,NORMAL
S12,P021,Mid-range,187,37,224,267,43,43,0,MARKDOWN
S12,P023,Mid-range,189,38,227,182,-45,0,45,NORMAL
S12,P025,Mid-range,194,39,233,293,60,60,0,MARKDOWN
S12,P041,Premium,112,22,134,137,3,3,0,MARKDOWN
S12,P043,Premium,62,12,74,67,-7,0,7,NORMAL
S12,P053,Flagship,60,12,72,71,-1,0,1,NORMAL
S12,P055,Flagship,47,9,56,51,-5,0,5,NORMAL
S12,P057,Flagship,58,12,70,84,14,14,0,MARKDOWN
S13,P001,Budget,257,51,308,389,81,81,0,MARKDOWN
S13,P003,Budget,285,57,342,253,-89,0,89,NORMAL
S13,P005,Budget,414,83,497,519,22,22,0,MARKDOWN
S13,P021,Mid-range,255,51,306,299,-7,0,7,NORMAL
S13,P023,Mid-range,255,51,306,351,45,45,0,MARKDOWN
S13,P025,Mid-range,255,51,306,257,-49,0,49,NORMAL
S13,P041,Premium,172,34,206,163,-43,0,43,NORMAL
S13,P043,Premium,87,17,104,88,-16,0,16,NORMAL
S13,P053,Flagship,62,12,74,57,-17,0,17,NORMAL
S13,P055,Flagship,62,12,74,87,13,13,0,MARKDOWN
S13,P057,Flagship,65,13,78,65,-13,0,13,NORMAL
S14,P001,Budget,397,79,476,531,55,55,0,MARKDOWN
S14,P003,Budget,372,74,446,380,-66,0,66,NORMAL
S14,P005,Budget,532,106,638,516,-122,0,122,NORMAL
S14,P021,Mid-range,191,38,229,257,28,28,0,MARKDOWN
S14,P023,Mid-range,191,38,229,239,10,10,0,MARKDOWN
S14,P025,Mid-range,191,38,229,219,-10,0,10,NORMAL
S14,P041,Premium,110,22,132,156,24,24,0,MARKDOWN
S14,P043,Premium,62,12,74,67,-7,0,7,NORMAL
S14,P053,Flagship,45,9,54,42,-12,0,12,NORMAL
S14,P055,Flagship,39,8,47,47,0,0,0,NORMAL
S14,P057,Flagship,50,10,60,75,15,15,0,MARKDOWN
S15,P001,Budget,260,52,312,221,-91,0,91,NORMAL
S15,P003,Budget,271,54,325,262,-63,0,63,NORMAL
S15,P005,Budget,408,82,490,387,-103,0,103,NORMAL
S15,P021,Mid-range,255,51,306,357,51,51,0,MARKDOWN
S15,P023,Mid-range,255,51,306,310,4,4,0,MARKDOWN
S15,P025,Mid-range,255,51,306,288,-18,0,18,NORMAL
S15,P041,Premium,167,33,200,168,-32,0,32,NORMAL
S15,P043,Premium,75,15,90,64,-26,0,26,NORMAL
S15,P053,Flagship,62,12,74,89,15,15,0,MARKDOWN
S15,P055,Flagship,62,12,74,81,7,7,0,MARKDOWN
S15,P057,Flagship,63,13,76,67,-9,0,9,NORMAL
S16,P001,Budget,372,74,446,368,-78,0,78,NORMAL
S16,P003,Budget,374,75,449,363,-86,0,86,NORMAL
S16,P005,Budget,523,105,628,598,-30,0,30,NORMAL
S16,P021,Mid-range,190,38,228,278,50,50,0,MARKDOWN
S16,P023,Mid-range,187,37,224,277,53,53,0,MARKDOWN
S16,P025,Mid-range,187,37,224,214,-10,0,10,NORMAL
S16,P041,Premium,110,22,132,114,-18,0,18,NORMAL
S16,P043,Premium,62,12,74,81,7,7,0,MARKDOWN
S16,P053,Flagship,44,9,53,43,-10,0,10,NORMAL
S16,P055,Flagship,53,11,64,61,-3,0,3,NORMAL
S16,P057,Flagship,59,12,71,72,1,1,0,MARKDOWN
S17,P001,Budget,385,77,462,346,-116,0,116,NORMAL
S17,P003,Budget,372,74,446,378,-68,0,68,NORMAL
S17,P005,Budget,527,105,632,552,-80,0,80,NORMAL
S17,P021,Mid-range,189,38,227,204,-23,0,23,NORMAL
S17,P023,Mid-range,191,38,229,175,-54,0,54,NORMAL
S17,P025,Mid-range,187,37,224,255,31,31,0,MARKDOWN
S17,P041,Premium,113,23,136,110,-26,0,26,NORMAL
S17,P043,Premium,62,12,74,91,17,17,0,MARKDOWN
S17,P053,Flagship,56,11,67,85,18,18,0,MARKDOWN
S17,P055,Flagship,51,10,61,69,8,8,0,MARKDOWN
S17,P057,Flagship,53,11,64,52,-12,0,12,NORMAL
S18,P001,Budget,374,75,449,502,53,53,0,MARKDOWN
S18,P003,Budget,375,75,450,565,115,115,0,MARKDOWN
S18,P005,Budget,519,104,623,789,166,166,0,MARKDOWN
S18,P021,Mid-range,188,38,226,231,5,5,0,MARKDOWN
S18,P023,Mid-range,188,38,226,201,-25,0,25,NORMAL
S18,P025,Mid-range,187,37,224,276,52,52,0,MARKDOWN
S18,P041,Premium,110,22,132,162,30,30,0,MARKDOWN
S18,P043,Premium,62,12,74,86,12,12,0,MARKDOWN
S18,P053,Flagship,60,12,72,52,-20,0,20,NORMAL
S18,P055,Flagship,54,11,65,84,19,19,0,MARKDOWN
S18,P057,Flagship,61,12,73,68,-5,0,5,NORMAL
S19,P001,Budget,376,75,451,528,77,77,0,MARKDOWN
S19,P003,Budget,373,75,448,426,-22,0,22,NORMAL
S19,P005,Budget,523,105,628,796,168,168,0,MARKDOWN
S19,P021,Mid-range,187,37,224,165,-59,0,59,NORMAL
S19,P023,Mid-range,197,39,236,290,54,54,0,MARKDOWN
S19,P025,Mid-range,187,37,224,291,67,67,0,MARKDOWN
S19,P041,Premium,110,22,132,163,31,31,0,MARKDOWN
S19,P043,Premium,62,12,74,90,16,16,0,MARKDOWN
S19,P053,Flagship,37,7,44,33,-11,0,11,NORMAL
S19,P055,Flagship,45,9,54,60,6,6,0,MARKDOWN
S19,P057,Flagship,56,11,67,81,14,14,0,MARKDOWN
S20,P001,Budget,400,80,480,574,94,94,0,MARKDOWN
S20,P003,Budget,372,74,446,494,48,48,0,MARKDOWN
S20,P005,Budget,528,106,634,545,-89,0,89,NORMAL
S20,P021,Mid-range,187,37,224,268,44,44,0,MARKDOWN
S20,P023,Mid-range,187,37,224,202,-22,0,22,NORMAL
S20,P025,Mid-range,192,38,230,183,-47,0,47,NORMAL
S20,P041,Premium,110,22,132,169,37,37,0,MARKDOWN
S20,P043,Premium,62,12,74,80,6,6,0,MARKDOWN
S20,P053,Flagship,21,4,25,23,-2,0,2,NORMAL
S20,P055,Flagship,20,4,24,17,-7,0,7,NORMAL
S20,P057,Flagship,47,9,56,72,16,16,0,MARKDOWN
S21,P001,Budget,376,75,451,521,70,70,0,MARKDOWN
S21,P003,Budget,372,74,446,318,-128,0,128,NORMAL
S21,P005,Budget,516,103,619,615,-4,0,4,NORMAL
S21,P021,Mid-range,187,37,224,285,61,61,0,MARKDOWN
S21,P023,Mid-range,190,38,228,219,-9,0,9,NORMAL
S21,P025,Mid-range,187,37,224,213,-11,0,11,NORMAL
S21,P041,Premium,110,22,132,161,29,29,0,MARKDOWN
S21,P043,Premium,62,12,74,86,12,12,0,MARKDOWN
S21,P053,Flagship,36,7,43,33,-10,0,10,NORMAL
S21,P055,Flagship,40,8,48,53,5,5,0,MARKDOWN
S21,P057,Flagship,49,10,59,48,-11,0,11,NORMAL
S22,P001,Budget,372,74,446,384,-62,0,62,NORMAL
S22,P003,Budget,373,75,448,397,-51,0,51,NORMAL
S22,P005,Budget,519,104,623,440,-183,0,183,NORMAL
S22,P021,Mid-range,187,37,224,240,16,16,0,MARKDOWN
S22,P023,Mid-range,187,37,224,232,8,8,0,MARKDOWN
S22,P025,Mid-range,187,37,224,201,-23,0,23,NORMAL
S22,P041,Premium,110,22,132,95,-37,0,37,NORMAL
S22,P043,Premium,62,12,74,54,-20,0,20,NORMAL
S22,P053,Flagship,56,11,67,69,2,2,0,MARKDOWN
S22,P055,Flagship,49,10,59,57,-2,0,2,NORMAL
S22,P057,Flagship,60,12,72,73,1,1,0,MARKDOWN
S23,P001,Budget,263,53,316,268,-48,0,48,NORMAL
S23,P003,Budget,269,54,323,395,72,72,0,MARKDOWN
S23,P005,Budget,416,83,499,641,142,142,0,MARKDOWN
S23,P021,Mid-range,256,51,307,262,-45,0,45,NORMAL
S23,P023,Mid-range,256,51,307,375,68,68,0,MARKDOWN
S23,P025,Mid-range,254,51,305,349,44,44,0,MARKDOWN
S23,P041,Premium,166,33,199,248,49,49,0,MARKDOWN
S23,P043,Premium,76,15,91,98,7,7,0,MARKDOWN
S23,P053,Flagship,62,12,74,90,16,16,0,MARKDOWN
S23,P055,Flagship,62,12,74,63,-11,0,11,NORMAL
S23,P057,Flagship,67,13,80,77,-3,0,3,NORMAL
S24,P001,Budget,257,51,308,246,-62,0,62,NORMAL
S24,P003,Budget,261,52,313,401,88,88,0,MARKDOWN
S24,P005,Budget,411,82,493,539,46,46,0,MARKDOWN
S24,P021,Mid-range,259,52,311,249,-62,0,62,NORMAL
S24,P023,Mid-range,257,51,308,222,-86,0,86,NORMAL
S24,P025,Mid-range,255,51,306,336,30,30,0,MARKDOWN
S24,P041,Premium,170,34,204,181,-23,0,23,NORMAL
S24,P043,Premium,82,16,98,71,-27,0,27,NORMAL
S24,P053,Flagship,62,12,74,74,0,0,0,NORMAL
S24,P055,Flagship,62,12,74,58,-16,0,16,NORMAL
S24,P057,Flagship,67,13,80,71,-9,0,9,NORMAL
S25,P001,Budget,376,75,451,578,127,127,0,MARKDOWN
S25,P003,Budget,373,75,448,494,46,46,0,MARKDOWN
S25,P005,Budget,514,103,617,753,136,136,0,MARKDOWN
S25,P021,Mid-range,187,37,224,210,-14,0,14,NORMAL
S25,P023,Mid-range,187,37,224,171,-53,0,53,NORMAL
S25,P025,Mid-range,187,37,224,291,67,67,0,MARKDOWN
S25,P041,Premium,110,22,132,157,25,25,0,MARKDOWN
S25,P043,Premium,62,12,74,76,2,2,0,MARKDOWN
S25,P053,Flagship,44,9,53,44,-9,0,9,NORMAL
S25,P055,Flagship,57,11,68,72,4,4,0,MARKDOWN
S25,P057,Flagship,57,11,68,73,5,5,0,MARKDOWN
