date,store_id,model_id,units_sold,selling_price,revenue
2025-09-01,S02,P028,6,16173,97038
2025-09-01,S02,P031,7,24755,173285
2025-09-01,S02,P036,7,20355,142485
2025-09-01,S02,P060,3,107526,322578
2025-09-01,S02,P054,4,101024,404096
2025-09-01,S02,P002,5,11544,57720
2025-09-01,S02,P018,6,14913,89478
2025-09-01,S02,P046,4,38193,152772
2025-09-01,S02,P022,5,27186,135930
2025-09-01,S02,P032,6,20596,123576
2025-09-01,S02,P030,5,15685,78425
2025-09-01,S02,P026,6,20310,121860
2025-09-01,S02,P057,4,147562,590248
2025-09-01,S02,P001,5,14634,73170
2025-09-01,S02,P052,4,57176,228704
2025-09-01,S02,P021,7,23957,167699
2025-09-01,S02,P058,3,112806,338418
2025-09-01,S02,P015,6,11088,66528
2025-09-01,S02,P042,4,69386,277544
2025-09-01,S02,P044,4,65718,262872
2025-09-01,S02,P006,6,11014,66084
2025-09-01,S02,P011,5,12047,60235
2025-09-01,S03,P014,8,10206,81648
2025-09-01,S03,P038,8,20282,162256
2025-09-01,S03,P050,2,47926,95852
2025-09-01,S03,P029,9,27143,244287
2025-09-01,S03,P012,7,10340,72380
2025-09-01,S03,P056,1,146173,146173
2025-09-01,S03,P059,1,132723,132723
2025-09-01,S03,P053,1,78449,78449
2025-09-01,S03,P024,9,26314,236826
2025-09-01,S03,P004,9,9027,81243
2025-09-01,S03,P040,7,20298,142086
2025-09-01,S03,P047,3,54136,162408
2025-09-01,S03,P039,10,25858,258580
2025-09-01,S03,P041,3,60034,180102
2025-09-01,S03,P045,3,50412,151236
2025-09-01,S03,P048,3,67839,203517
2025-09-01,S03,P016,9,14265,128385
2025-09-01,S03,P010,8,14758,118064
2025-09-01,S03,P013,8,14412,115296
2025-09-01,S03,P055,1,106142,106142
2025-09-01,S03,P020,8,14255,114040
2025-09-01,S03,P007,10,8784,87840
2025-09-01,S03,P034,10,24060,240600
2025-09-01,S03,P037,8,26798,214384
2025-09-01,S03,P049,3,44927,134781
2025-09-01,S03,P027,8,27330,218640
2025-09-01,S03,P043,3,52204,156612
2025-09-01,S03,P008,8,6271,50168
2025-09-01,S03,P019,7,8064,56448
2025-09-01,S03,P003,4,7154,28616
2025-09-01,S03,P035,10,26927,269270
2025-09-01,S03,P009,9,9061,81549
2025-09-01,S03,P005,8,6752,54016
2025-09-01,S03,P017,10,8394,83940
2025-09-01,S03,P033,10,26693,266930
2025-09-01,S03,P025,9,21573,194157
2025-09-01,S03,P023,4,24663,98652
2025-09-01,S03,P051,3,61101,183303
2025-09-01,S03,P028,8,16173,129384
2025-09-01,S03,P031,9,24755,222795
2025-09-01,S03,P036,9,20355,183195
2025-09-01,S03,P060,1,107526,107526
2025-09-01,S03,P054,2,101024,202048
2025-09-01,S03,P002,8,11544,92352
2025-09-01,S03,P018,10,14913,149130
2025-09-01,S03,P046,4,38193,152772
2025-09-01,S03,P022,8,27186,217488
2025-09-01,S03,P032,8,20596,164768
2025-09-01,S03,P030,10,15685,156850
2025-09-01,S03,P026,8,20310,162480
2025-09-01,S03,P057,1,147562,147562
2025-09-01,S03,P001,8,14634,117072
2025-09-01,S03,P052,3,57176,171528
2025-09-01,S03,P021,8,23957,191656
2025-09-01,S03,P058,1,112806,112806
2025-09-01,S03,P015,8,11088,88704
2025-09-01,S03,P042,4,69386,277544
2025-09-01,S03,P044,3,65718,197154
2025-09-01,S03,P006,10,11014,110140
2025-09-01,S03,P011,8,12047,96376
2025-09-01,S04,P014,5,10206,51030
2025-09-01,S04,P038,6,20282,121692
2025-09-01,S04,P050,5,47926,239630
2025-09-01,S04,P029,5,27143,135715
2025-09-01,S04,P012,6,10340,62040
2025-09-01,S04,P056,3,146173,438519
2025-09-01,S04,P059,3,132723,398169
2025-09-01,S04,P053,3,78449,235347
2025-09-01,S04,P024,5,26314,131570
2025-09-01,S04,P004,5,9027,45135
2025-09-01,S04,P040,6,20298,121788
2025-09-01,S04,P047,4,54136,216544
2025-09-01,S04,P039,6,25858,155148
2025-09-01,S04,P041,4,60034,240136
2025-09-01,S04,P045,5,50412,252060
2025-09-01,S04,P048,4,67839,271356
2025-09-01,S04,P016,6,14265,85590
2025-09-01,S04,P010,4,14758,59032
2025-09-01,S04,P013,7,14412,100884
2025-09-01,S04,P055,1,106142,106142
2025-09-01,S04,P020,7,14255,99785
2025-09-01,S04,P007,6,8784,52704
2025-09-01,S04,P034,5,24060,120300
2025-09-01,S04,P037,5,26798,133990
2025-09-01,S04,P049,5,44927,224635
2025-09-01,S04,P027,5,27330,136650
2025-09-01,S04,P043,5,52204,261020
2025-09-01,S04,P008,5,6271,31355
2025-09-01,S04,P019,5,8064,40320
2025-09-01,S04,P003,3,7154,21462
2025-09-01,S04,P035,5,26927,134635
2025-09-01,S04,P009,5,9061,45305
2025-09-01,S04,P005,6,6752,40512
2025-09-01,S04,P017,5,8394,41970
2025-09-01,S04,P033,6,26693,160158
2025-09-01,S04,P025,6,21573,129438
2025-09-01,S04,P023,2,24663,49326
2025-09-01,S04,P051,4,61101,244404
2025-09-01,S04,P028,6,16173,97038
2025-09-01,S04,P031,7,24755,173285
2025-09-01,S04,P036,7,20355,142485
2025-09-01,S04,P060,3,107526,322578
2025-09-01,S04,P054,4,101024,404096
2025-09-01,S04,P002,6,11544,69264
2025-09-01,S04,P018,6,14913,89478
2025-09-01,S04,P046,4,38193,152772
2025-09-01,S04,P022,5,27186,135930
2025-09-01,S04,P032,6,20596,123576
2025-09-01,S04,P030,5,15685,78425
2025-09-01,S04,P026,6,20310,121860
2025-09-01,S04,P057,3,147562,442686
2025-09-01,S04,P001,6,14634,87804
2025-09-01,S04,P052,4,57176,228704
2025-09-01,S04,P021,5,23957,119785
2025-09-01,S04,P058,3,112806,338418
2025-09-01,S04,P015,6,11088,66528
2025-09-01,S04,P042,5,69386,346930
2025-09-01,S04,P044,4,65718,262872
2025-09-01,S04,P006,7,11014,77098
2025-09-01,S04,P011,5,12047,60235
2025-09-01,S05,P014,10,10206,102060
2025-09-01,S05,P038,9,20282,182538
2025-09-01,S05,P050,3,47926,143778
2025-09-01,S05,P029,9,27143,244287
2025-09-01,S05,P012,10,10340,103400
2025-09-01,S05,P056,2,146173,292346
2025-09-01,S05,P059,1,132723,132723
2025-09-01,S05,P053,2,78449,156898
2025-09-01,S05,P024,8,26314,210512
2025-09-01,S05,P004,10,9027,90270
2025-09-01,S05,P040,10,20298,202980
2025-09-01,S05,P047,2,54136,108272
2025-09-01,S05,P039,8,25858,206864
2025-09-01,S05,P041,3,60034,180102
2025-09-01,S05,P045,3,50412,151236
2025-09-01,S05,P048,3,67839,203517
2025-09-01,S05,P016,9,14265,128385
2025-09-01,S05,P010,10,14758,147580
2025-09-01,S05,P013,7,14412,100884
2025-09-01,S05,P055,1,106142,106142
2025-09-01,S05,P020,7,14255,99785
2025-09-01,S05,P007,7,8784,61488
2025-09-01,S05,P034,10,24060,240600
2025-09-01,S05,P037,8,26798,214384
2025-09-01,S05,P049,3,44927,134781
2025-09-01,S05,P027,10,27330,273300
2025-09-01,S05,P043,3,52204,156612
2025-09-01,S05,P008,8,6271,50168
2025-09-01,S05,P019,8,8064,64512
2025-09-01,S05,P003,4,7154,28616
2025-09-01,S05,P035,10,26927,269270
2025-09-01,S05,P009,7,9061,63427
2025-09-01,S05,P005,10,6752,67520
2025-09-01,S05,P017,9,8394,75546
2025-09-01,S05,P033,9,26693,240237
2025-09-01,S05,P025,9,21573,194157
2025-09-01,S05,P023,4,24663,98652
2025-09-01,S05,P051,4,61101,244404
2025-09-01,S05,P028,10,16173,161730
2025-09-01,S05,P031,8,24755,198040
2025-09-01,S05,P036,8,20355,162840
2025-09-01,S05,P060,1,107526,107526
2025-09-01,S05,P054,1,101024,101024
2025-09-01,S05,P002,9,11544,103896
2025-09-01,S05,P018,9,14913,134217
2025-09-01,S05,P046,3,38193,114579
2025-09-01,S05,P022,10,27186,271860
2025-09-01,S05,P032,8,20596,164768
2025-09-01,S05,P030,9,15685,141165
2025-09-01,S05,P026,7,20310,142170
2025-09-01,S05,P057,1,147562,147562
2025-09-01,S05,P001,9,14634,131706
2025-09-01,S05,P052,3,57176,171528
2025-09-01,S05,P021,9,23957,215613
2025-09-01,S05,P058,1,112806,112806
2025-09-01,S05,P015,8,11088,88704
2025-09-01,S05,P042,4,69386,277544
2025-09-01,S05,P044,3,65718,197154
2025-09-01,S05,P006,8,11014,88112
2025-09-01,S05,P011,9,12047,108423
2025-09-01,S06,P014,6,10206,61236
2025-09-01,S06,P038,6,20282,121692
2025-09-01,S06,P050,4,47926,191704
2025-09-01,S06,P029,7,27143,190001
2025-09-01,S06,P012,6,10340,62040
2025-09-01,S06,P056,2,146173,292346
2025-09-01,S06,P059,3,132723,398169
2025-09-01,S06,P053,3,78449,235347
2025-09-01,S06,P024,5,26314,131570
2025-09-01,S06,P004,5,9027,45135
2025-09-01,S06,P040,5,20298,101490
2025-09-01,S06,P047,4,54136,216544
2025-09-01,S06,P039,7,25858,181006
2025-09-01,S06,P041,4,60034,240136
2025-09-01,S06,P045,4,50412,201648
2025-09-01,S06,P048,4,67839,271356
2025-09-01,S06,P016,6,14265,85590
2025-09-01,S06,P010,5,14758,73790
2025-09-01,S06,P013,5,14412,72060
2025-09-01,S06,P055,1,106142,106142
2025-09-01,S06,P020,7,14255,99785
2025-09-01,S06,P007,6,8784,52704
2025-09-01,S06,P034,7,24060,168420
2025-09-01,S06,P037,7,26798,187586
2025-09-01,S06,P049,4,44927,179708
2025-09-01,S06,P027,5,27330,136650
2025-09-01,S06,P043,3,52204,156612
2025-09-01,S06,P008,5,6271,31355
2025-09-01,S06,P019,5,8064,40320
2025-09-01,S06,P003,2,7154,14308
2025-09-01,S06,P035,5,26927,134635
2025-09-01,S06,P009,5,9061,45305
2025-09-01,S06,P005,5,6752,33760
2025-09-01,S06,P017,6,8394,50364
2025-09-01,S06,P033,5,26693,133465
2025-09-01,S06,P025,7,21573,151011
2025-09-01,S06,P023,2,24663,49326
2025-09-01,S06,P051,4,61101,244404
2025-09-01,S06,P028,5,16173,80865
2025-09-01,S06,P031,5,24755,123775
2025-09-01,S06,P036,6,20355,122130
2025-09-01,S06,P060,3,107526,322578
2025-09-01,S06,P054,3,101024,303072
2025-09-01,S06,P002,5,11544,57720
2025-09-01,S06,P018,5,14913,74565
2025-09-01,S06,P046,4,38193,152772
2025-09-01,S06,P022,6,27186,163116
2025-09-01,S06,P032,7,20596,144172
2025-09-01,S06,P030,6,15685,94110
2025-09-01,S06,P026,6,20310,121860
2025-09-01,S06,P057,3,147562,442686
2025-09-01,S06,P001,7,14634,102438
2025-09-01,S06,P052,4,57176,228704
2025-09-01,S06,P021,5,23957,119785
2025-09-01,S06,P058,3,112806,338418
2025-09-01,S06,P015,5,11088,55440
2025-09-01,S06,P042,4,69386,277544
2025-09-01,S06,P044,4,65718,262872
2025-09-01,S06,P006,6,11014,66084
2025-09-01,S06,P011,7,12047,84329
2025-09-01,S07,P014,10,10206,102060
2025-09-01,S07,P038,8,20282,162256
2025-09-01,S07,P050,2,47926,95852
2025-09-01,S07,P029,9,27143,244287
2025-09-01,S07,P012,10,10340,103400
2025-09-01,S07,P056,2,146173,292346
2025-09-01,S07,P059,1,132723,132723
2025-09-01,S07,P053,2,78449,156898
2025-09-01,S07,P024,7,26314,184198
2025-09-01,S07,P004,10,9027,90270
2025-09-01,S07,P040,8,20298,162384
2025-09-01,S07,P047,3,54136,162408
2025-09-01,S07,P039,7,25858,181006
2025-09-01,S07,P041,3,60034,180102
2025-09-01,S07,P045,3,50412,151236
2025-09-01,S07,P048,3,67839,203517
2025-09-01,S07,P016,8,14265,114120
2025-09-01,S07,P010,8,14758,118064
2025-09-01,S07,P013,8,14412,115296
2025-09-01,S07,P055,1,106142,106142
2025-09-01,S07,P020,9,14255,128295
2025-09-01,S07,P007,8,8784,70272
2025-09-01,S07,P034,9,24060,216540
2025-09-01,S07,P037,10,26798,267980
2025-09-01,S07,P049,4,44927,179708
2025-09-01,S07,P027,9,27330,245970
2025-09-01,S07,P043,3,52204,156612
2025-09-01,S07,P008,9,6271,56439
2025-09-01,S07,P019,8,8064,64512
2025-09-01,S07,P003,4,7154,28616
2025-09-01,S07,P035,9,26927,242343
2025-09-01,S07,P009,8,9061,72488
2025-09-01,S07,P005,7,6752,47264
2025-09-01,S07,P017,10,8394,83940
2025-09-01,S07,P033,8,26693,213544
2025-09-01,S07,P025,10,21573,215730
2025-09-01,S07,P023,4,24663,98652
2025-09-01,S07,P051,3,61101,183303
2025-09-01,S07,P028,9,16173,145557
2025-09-01,S07,P031,7,24755,173285
2025-09-01,S07,P036,7,20355,142485
2025-09-01,S07,P060,1,107526,107526
2025-09-01,S07,P054,2,101024,202048
2025-09-01,S07,P002,8,11544,92352
2025-09-01,S07,P018,10,14913,149130
2025-09-01,S07,P046,3,38193,114579
2025-09-01,S07,P022,9,27186,244674
2025-09-01,S07,P032,10,20596,205960
2025-09-01,S07,P030,8,15685,125480
2025-09-01,S07,P026,8,20310,162480
2025-09-01,S07,P057,2,147562,295124
2025-09-01,S07,P001,10,14634,146340
2025-09-01,S07,P052,3,57176,171528
2025-09-01,S07,P021,10,23957,239570
2025-09-01,S07,P058,1,112806,112806
2025-09-01,S07,P015,10,11088,110880
2025-09-01,S07,P042,3,69386,208158
2025-09-01,S07,P044,3,65718,197154
2025-09-01,S07,P006,10,11014,110140
2025-09-01,S07,P011,8,12047,96376
2025-09-01,S08,P014,7,10206,71442
2025-09-01,S08,P038,8,20282,162256
2025-09-01,S08,P050,4,47926,191704
2025-09-01,S08,P029,7,27143,190001
2025-09-01,S08,P012,10,10340,103400
2025-09-01,S08,P056,2,146173,292346
2025-09-01,S08,P059,1,132723,132723
2025-09-01,S08,P053,1,78449,78449
2025-09-01,S08,P024,7,26314,184198
2025-09-01,S08,P004,10,9027,90270
2025-09-01,S08,P040,8,20298,162384
2025-09-01,S08,P047,3,54136,162408
2025-09-01,S08,P039,9,25858,232722
2025-09-01,S08,P041,4,60034,240136
2025-09-01,S08,P045,3,50412,151236
2025-09-01,S08,P048,2,67839,135678
2025-09-01,S08,P016,9,14265,128385
2025-09-01,S08,P010,9,14758,132822
2025-09-01,S08,P013,9,14412,129708
2025-09-01,S08,P055,1,106142,106142
2025-09-01,S08,P020,8,14255,114040
2025-09-01,S08,P007,7,8784,61488
2025-09-01,S08,P034,7,24060,168420
2025-09-01,S08,P037,9,26798,241182
2025-09-01,S08,P049,2,44927,89854
2025-09-01,S08,P027,8,27330,218640
2025-09-01,S08,P043,3,52204,156612
2025-09-01,S08,P008,10,6271,62710
2025-09-01,S08,P019,10,8064,80640
2025-09-01,S08,P003,4,7154,28616
2025-09-01,S08,P035,7,26927,188489
2025-09-01,S08,P009,8,9061,72488
2025-09-01,S08,P005,7,6752,47264
2025-09-01,S08,P017,9,8394,75546
2025-09-01,S08,P033,9,26693,240237
2025-09-01,S08,P025,9,21573,194157
2025-09-01,S08,P023,4,24663,98652
2025-09-01,S08,P051,3,61101,183303
2025-09-01,S08,P028,7,16173,113211
2025-09-01,S08,P031,7,24755,173285
2025-09-01,S08,P036,9,20355,183195
2025-09-01,S08,P060,1,107526,107526
2025-09-01,S08,P054,1,101024,101024
2025-09-01,S08,P002,7,11544,80808
2025-09-01,S08,P018,10,14913,149130
2025-09-01,S08,P046,2,38193,76386
2025-09-01,S08,P022,8,27186,217488
2025-09-01,S08,P032,7,20596,144172
2025-09-01,S08,P030,10,15685,156850
2025-09-01,S08,P026,7,20310,142170
2025-09-01,S08,P057,1,147562,147562
2025-09-01,S08,P001,9,14634,131706
2025-09-01,S08,P052,3,57176,171528
2025-09-01,S08,P021,8,23957,191656
2025-09-01,S08,P058,1,112806,112806
2025-09-01,S08,P015,8,11088,88704
2025-09-01,S08,P042,3,69386,208158
2025-09-01,S08,P044,3,65718,197154
2025-09-01,S08,P006,9,11014,99126
2025-09-01,S08,P011,9,12047,108423
2025-09-01,S09,P014,7,10206,71442
2025-09-01,S09,P038,8,20282,162256
2025-09-01,S09,P050,3,47926,143778
2025-09-01,S09,P029,8,27143,217144
2025-09-01,S09,P012,10,10340,103400
2025-09-01,S09,P056,2,146173,292346
2025-09-01,S09,P059,2,132723,265446
2025-09-01,S09,P053,1,78449,78449
2025-09-01,S09,P024,9,26314,236826
2025-09-01,S09,P004,9,9027,81243
2025-09-01,S09,P040,9,20298,182682
2025-09-01,S09,P047,3,54136,162408
2025-09-01,S09,P039,8,25858,206864
2025-09-01,S09,P041,3,60034,180102
2025-09-01,S09,P045,3,50412,151236
2025-09-01,S09,P048,2,67839,135678
2025-09-01,S09,P016,10,14265,142650
2025-09-01,S09,P010,8,14758,118064
2025-09-01,S09,P013,7,14412,100884
2025-09-01,S09,P055,1,106142,106142
2025-09-01,S09,P020,9,14255,128295
2025-09-01,S09,P007,9,8784,79056
2025-09-01,S09,P034,8,24060,192480
2025-09-01,S09,P037,10,26798,267980
2025-09-01,S09,P049,4,44927,179708
2025-09-01,S09,P027,9,27330,245970
2025-09-01,S09,P043,3,52204,156612
2025-09-01,S09,P008,9,6271,56439
2025-09-01,S09,P019,7,8064,56448
2025-09-01,S09,P003,5,7154,35770
2025-09-01,S09,P035,9,26927,242343
2025-09-01,S09,P009,10,9061,90610
2025-09-01,S09,P005,8,6752,54016
2025-09-01,S09,P017,8,8394,67152
2025-09-01,S09,P033,9,26693,240237
2025-09-01,S09,P025,7,21573,151011
2025-09-01,S09,P023,3,24663,73989
2025-09-01,S09,P051,3,61101,183303
2025-09-01,S09,P028,8,16173,129384
2025-09-01,S09,P031,8,24755,198040
2025-09-01,S09,P036,9,20355,183195
2025-09-01,S09,P060,2,107526,215052
2025-09-01,S09,P054,1,101024,101024
2025-09-01,S09,P002,8,11544,92352
2025-09-01,S09,P018,8,14913,119304
2025-09-01,S09,P046,3,38193,114579
2025-09-01,S09,P022,9,27186,244674
2025-09-01,S09,P032,10,20596,205960
2025-09-01,S09,P030,9,15685,141165
2025-09-01,S09,P026,9,20310,182790
2025-09-01,S09,P057,1,147562,147562
2025-09-01,S09,P001,10,14634,146340
2025-09-01,S09,P052,3,57176,171528
2025-09-01,S09,P021,8,23957,191656
2025-09-01,S09,P058,1,112806,112806
2025-09-01,S09,P015,9,11088,99792
2025-09-01,S09,P042,3,69386,208158
2025-09-01,S09,P044,3,65718,197154
2025-09-01,S09,P006,8,11014,88112
2025-09-01,S09,P011,8,12047,96376
2025-09-01,S10,P014,9,10206,91854
2025-09-01,S10,P038,8,20282,162256
2025-09-01,S10,P050,3,47926,143778
2025-09-01,S10,P029,8,27143,217144
2025-09-01,S10,P012,10,10340,103400
2025-09-01,S10,P056,1,146173,146173
2025-09-01,S10,P059,2,132723,265446
2025-09-01,S10,P053,1,78449,78449
2025-09-01,S10,P024,8,26314,210512
2025-09-01,S10,P004,8,9027,72216
2025-09-01,S10,P040,10,20298,202980
2025-09-01,S10,P047,3,54136,162408
2025-09-01,S10,P039,7,25858,181006
2025-09-01,S10,P041,3,60034,180102
2025-09-01,S10,P045,2,50412,100824
2025-09-01,S10,P048,3,67839,203517
2025-09-01,S10,P016,10,14265,142650
2025-09-01,S10,P010,11,14758,162338
2025-09-01,S10,P013,8,14412,115296
2025-09-01,S10,P055,1,106142,106142
2025-09-01,S10,P020,10,14255,142550
2025-09-01,S10,P007,9,8784,79056
2025-09-01,S10,P034,10,24060,240600
2025-09-01,S10,P037,7,26798,187586
2025-09-01,S10,P049,3,44927,134781
2025-09-01,S10,P027,8,27330,218640
2025-09-01,S10,P043,3,52204,156612
2025-09-01,S10,P008,10,6271,62710
2025-09-01,S10,P019,9,8064,72576
2025-09-01,S10,P003,5,7154,35770
2025-09-01,S10,P035,7,26927,188489
2025-09-01,S10,P009,8,9061,72488
2025-09-01,S10,P005,10,6752,67520
2025-09-01,S10,P017,9,8394,75546
2025-09-01,S10,P033,9,26693,240237
2025-09-01,S10,P025,8,21573,172584
2025-09-01,S10,P023,4,24663,98652
2025-09-01,S10,P051,3,61101,183303
2025-09-01,S10,P028,8,16173,129384
2025-09-01,S10,P031,9,24755,222795
2025-09-01,S10,P036,7,20355,142485
2025-09-01,S10,P060,2,107526,215052
2025-09-01,S10,P054,1,101024,101024
2025-09-01,S10,P002,8,11544,92352
2025-09-01,S10,P018,9,14913,134217
2025-09-01,S10,P046,3,38193,114579
2025-09-01,S10,P022,7,27186,190302
2025-09-01,S10,P032,8,20596,164768
2025-09-01,S10,P030,9,15685,141165
2025-09-01,S10,P026,9,20310,182790
2025-09-01,S10,P057,1,147562,147562
2025-09-01,S10,P001,8,14634,117072
2025-09-01,S10,P052,3,57176,171528
2025-09-01,S10,P021,8,23957,191656
2025-09-01,S10,P058,2,112806,225612
2025-09-01,S10,P015,8,11088,88704
2025-09-01,S10,P042,4,69386,277544
2025-09-01,S10,P044,3,65718,197154
2025-09-01,S10,P006,10,11014,110140
2025-09-01,S10,P011,7,12047,84329
2025-09-01,S11,P014,12,10206,122472
2025-09-01,S11,P038,7,20282,141974
2025-09-01,S11,P050,2,47926,95852
2025-09-01,S11,P029,6,27143,162858
2025-09-01,S11,P012,12,10340,124080
2025-09-01,S11,P056,1,146173,146173
2025-09-01,S11,P059,1,132723,132723
2025-09-01,S11,P053,1,78449,78449
2025-09-01,S11,P024,6,26314,157884
2025-09-01,S11,P004,12,9027,108324
2025-09-01,S11,P040,7,20298,142086
2025-09-01,S11,P047,2,54136,108272
2025-09-01,S11,P039,7,25858,181006
2025-09-01,S11,P041,2,60034,120068
2025-09-01,S11,P045,2,50412,100824
2025-09-01,S11,P048,2,67839,135678
2025-09-01,S11,P016,10,14265,142650
2025-09-01,S11,P010,11,14758,162338
2025-09-01,S11,P013,14,14412,201768
2025-09-01,S11,P055,0,106142,0
2025-09-01,S11,P020,12,14255,171060
2025-09-01,S11,P007,10,8784,87840
2025-09-01,S11,P034,7,24060,168420
2025-09-01,S11,P037,7,26798,187586
2025-09-01,S11,P049,2,44927,89854
2025-09-01,S11,P027,7,27330,191310
2025-09-01,S11,P043,2,52204,104408
2025-09-01,S11,P008,11,6271,68981
2025-09-01,S11,P019,11,8064,88704
2025-09-01,S11,P003,6,7154,42924
2025-09-01,S11,P035,7,26927,188489
2025-09-01,S11,P009,10,9061,90610
2025-09-01,S11,P005,12,6752,81024
2025-09-01,S11,P017,12,8394,100728
2025-09-01,S11,P033,7,26693,186851
2025-09-01,S11,P025,8,21573,172584
2025-09-01,S11,P023,3,24663,73989
2025-09-01,S11,P051,2,61101,122202
2025-09-01,S11,P028,7,16173,113211
2025-09-01,S11,P031,7,24755,173285
2025-09-01,S11,P036,6,20355,122130
2025-09-01,S11,P060,1,107526,107526
2025-09-01,S11,P054,1,101024,101024
2025-09-01,S11,P002,14,11544,161616
2025-09-01,S11,P018,11,14913,164043
2025-09-01,S11,P046,3,38193,114579
2025-09-01,S11,P022,8,27186,217488
2025-09-01,S11,P032,7,20596,144172
2025-09-01,S11,P030,6,15685,94110
2025-09-01,S11,P026,7,20310,142170
2025-09-01,S11,P057,1,147562,147562
2025-09-01,S11,P001,11,14634,160974
2025-09-01,S11,P052,2,57176,114352
2025-09-01,S11,P021,8,23957,191656
2025-09-01,S11,P058,1,112806,112806
2025-09-01,S11,P015,13,11088,144144
2025-09-01,S11,P042,2,69386,138772
2025-09-01,S11,P044,2,65718,131436
2025-09-01,S11,P006,11,11014,121154
2025-09-01,S11,P011,10,12047,120470
2025-09-01,S12,P014,12,10206,122472
2025-09-01,S12,P038,6,20282,121692
2025-09-01,S12,P050,2,47926,95852
2025-09-01,S12,P029,5,27143,135715
