model_id,from_store,to_store,transfer_quantity
P013,S05,S06,53
P013,S08,S06,48
P013,S10,S06,21
P013,S11,S06,5
P013,S11,S07,64
P013,S13,S07,66
P013,S14,S07,3
P013,S16,S07,30
P013,S16,S09,37
P013,S17,S09,52
P013,S17,S12,74
P013,S19,S12,59
P013,S20,S12,95
P013,S20,S15,12
P013,S22,S15,105
P013,S22,S18,47
P013,S25,S18,99
P013,S25,S21,101
P014,S02,S01,77
P014,S02,S03,7
P014,S04,S03,36
P014,S06,S03,22
P014,S06,S05,74
P014,S06,S08,28
P014,S07,S08,74
P014,S10,S08,24
P014,S12,S08,13
P014,S13,S08,9
P014,S14,S08,12
P014,S14,S09,49
P014,S15,S09,76
P014,S15,S11,84
P014,S19,S11,7
P014,S20,S11,98
P014,S21,S11,38
P014,S21,S16,49
P014,S21,S17,73
P014,S23,S17,82
P014,S23,S18,118
P014,S24,S18,8
P014,S25,S18,38
P015,S02,S01,55
P015,S03,S01,30
P015,S03,S04,43
P015,S03,S05,105
P015,S06,S05,28
P015,S06,S07,62
P015,S10,S07,110
P015,S10,S08,41
P015,S11,S08,126
P015,S11,S09,15
P015,S11,S12,49
P015,S11,S13,13
P015,S16,S13,28
P015,S20,S13,16
P015,S20,S14,48
P015,S21,S14,105
P015,S23,S14,109
P015,S23,S15,82
P016,S02,S01,61
P016,S05,S01,23
P016,S06,S01,1
P016,S06,S03,51
P016,S08,S03,20
P016,S08,S04,40
P016,S08,S07,21
P016,S11,S07,52
P016,S11,S09,59
P016,S11,S10,39
P016,S11,S15,79
P016,S12,S15,45
P016,S12,S16,35
P016,S12,S17,129
P016,S12,S19,53
P016,S13,S19,123
P016,S13,S21,29
P016,S14,S21,123
P016,S14,S22,79
P016,S18,S22,107
P016,S20,S22,29
P017,S02,S01,52
P017,S02,S06,21
P017,S03,S06,3
P017,S03,S08,5
P017,S04,S08,60
P017,S05,S08,107
P017,S05,S10,68
P017,S07,S10,79
P017,S07,S11,60
P017,S09,S11,34
P017,S14,S11,144
P017,S14,S12,91
P017,S17,S12,52
P017,S25,S12,68
P017,S25,S13,35
P018,S01,S02,7
P018,S03,S02,82
P018,S04,S02,25
P018,S04,S06,81
P018,S05,S06,6
P018,S05,S07,73
P018,S08,S07,119
P018,S08,S09,10
P018,S13,S09,127
P018,S14,S09,33
P018,S14,S10,2
P018,S16,S10,187
P018,S16,S11,57
P018,S18,S11,64
P018,S18,S12,55
P018,S18,S15,3
P018,S20,S15,8
P018,S20,S17,199
P018,S21,S17,45
P018,S21,S19,53
P018,S22,S19,117
P018,S22,S24,101
P019,S04,S01,18
P019,S04,S02,38
P019,S04,S03,48
P019,S05,S03,7
P019,S05,S06,21
P019,S07,S06,71
P019,S07,S13,24
P019,S07,S17,2
P019,S07,S18,29
P019,S08,S18,83
P019,S09,S18,124
P019,S09,S22,66
P019,S10,S22,103
P019,S11,S22,24
P019,S11,S23,142
P019,S12,S23,29
P019,S12,S25,154
P020,S03,S01,56
P020,S03,S02,103
P020,S03,S05,31
P020,S04,S05,75
P020,S09,S05,56
P020,S09,S06,67
P020,S09,S07,72
P020,S10,S07,16
P020,S10,S08,32
P020,S11,S08,135
P020,S12,S08,1
P020,S12,S13,49
P020,S12,S15,148
P020,S14,S15,27
P020,S14,S16,196
P020,S14,S18,6
P020,S17,S18,53
P020,S24,S18,41
P020,S24,S19,42
P020,S25,S19,39
P020,S25,S20,47
P021,S01,S07,15
P021,S02,S07,49
P021,S03,S07,6
P021,S03,S08,76
P021,S03,S11,3
P021,S04,S11,19
P021,S05,S11,20
P021,S05,S13,1
P021,S06,S13,6
P021,S06,S17,1
P021,S09,S17,22
P021,S09,S19,14
P021,S10,S19,37
P021,S12,S19,8
P021,S12,S23,35
P021,S14,S23,10
P021,S14,S24,18
P021,S15,S24,44
P021,S15,S25,7
P021,S16,S25,7
P022,S02,S01,33
P022,S05,S01,64
P022,S05,S03,89
P022,S05,S04,24
P022,S06,S04,57
P022,S07,S04,30
P022,S07,S10,41
P022,S08,S10,62
P022,S08,S11,90
P022,S08,S12,23
P022,S09,S12,13
P022,S17,S12,39
P022,S17,S13,46
P022,S18,S13,26
P022,S18,S14,64
P022,S19,S14,45
P022,S19,S15,17
P022,S19,S16,4
P022,S19,S20,80
P022,S22,S20,35
P022,S22,S21,28
P022,S25,S21,47
P023,S06,S01,22
P023,S07,S01,6
P023,S07,S02,18
P023,S13,S02,5
P023,S13,S03,1
P023,S13,S04,39
P023,S14,S04,6
P023,S14,S05,4
P023,S15,S05,4
P023,S16,S05,53
P023,S19,S05,5
P023,S19,S08,23
P023,S19,S09,26
P023,S22,S09,8
P023,S23,S09,1
P023,S23,S10,67
P024,S04,S01,36
P024,S04,S02,71
P024,S05,S02,7
P024,S07,S02,39
P024,S07,S03,72
P024,S07,S06,25
P024,S09,S06,34
P024,S09,S08,46
P024,S09,S10,33
P024,S12,S10,53
P024,S13,S10,1
P024,S14,S10,33
P024,S16,S10,55
P024,S16,S11,5
P024,S16,S15,21
P024,S16,S17,12
P024,S18,S17,39
P024,S19,S17,81
P024,S19,S22,50
P024,S20,S22,75
P024,S21,S22,28
P025,S04,S01,6
P025,S04,S02,8
P025,S05,S02,17
P025,S05,S03,40
P025,S05,S10,12
P025,S06,S10,15
P025,S06,S13,46
P025,S07,S13,3
P025,S07,S14,10
P025,S07,S15,18
P025,S07,S16,10
P025,S07,S20,2
P025,S08,S20,45
P025,S08,S21,11
P025,S08,S22,1
P025,S09,S22,22
P026,S01,S02,47
P026,S01,S03,30
P026,S05,S03,87
P026,S06,S03,49
P026,S06,S04,15
P026,S07,S04,109
P026,S08,S04,7
P026,S08,S09,121
P026,S08,S11,33
P026,S10,S11,8
P026,S10,S16,24
P026,S12,S16,18
P026,S13,S16,107
P026,S13,S17,1
P026,S13,S19,36
P026,S14,S19,65
P026,S14,S23,8
P026,S15,S23,19
P026,S15,S24,2
P026,S18,S24,7
P026,S18,S25,29
P026,S20,S25,97
P026,S21,S25,14
P027,S02,S01,62
P027,S03,S01,19
P027,S03,S04,21
P027,S05,S04,71
P027,S06,S04,15
P027,S08,S07,78
P027,S08,S10,39
P027,S08,S11,11
P027,S08,S13,42
P027,S08,S15,5
P027,S09,S15,119
P027,S09,S16,29
P027,S12,S16,22
P027,S14,S16,21
P027,S14,S18,83
P027,S14,S19,31
P027,S17,S19,1
P027,S17,S21,32
P027,S17,S22,26
P027,S20,S22,100
P027,S20,S23,4
P027,S24,S23,51
P028,S01,S07,4
P028,S02,S07,37
P028,S03,S07,1
P028,S04,S07,44
P028,S05,S07,30
P028,S05,S10,23
P028,S05,S12,20
P028,S06,S12,30
P028,S08,S12,18
P028,S08,S15,73
P028,S09,S15,42
P028,S09,S17,20
P028,S09,S18,54
P028,S11,S18,77
P028,S13,S18,16
P028,S14,S18,2
P028,S14,S21,70
P028,S14,S22,45
P028,S14,S23,15
P028,S16,S23,13
P028,S19,S23,18
P028,S19,S25,29
P029,S01,S03,25
P029,S02,S03,104
P029,S07,S03,32
P029,S07,S04,59
P029,S09,S04,73
P029,S09,S05,51
P029,S09,S06,22
P029,S09,S08,16
P029,S10,S08,28
P029,S10,S11,117
P029,S12,S11,28
P029,S12,S14,15
P029,S12,S17,41
P029,S13,S17,38
P029,S13,S20,108
P029,S15,S20,46
P029,S15,S22,85
P029,S16,S22,42
P029,S18,S22,18
P030,S07,S01,110
P030,S09,S01,11
P030,S09,S02,7
P030,S09,S03,63
P030,S13,S03,17
P030,S13,S04,28
P030,S15,S04,63
P030,S15,S05,74
P030,S15,S06,24
P030,S17,S06,44
P030,S17,S08,56
P030,S24,S08,94
P030,S24,S10,38
P030,S25,S10,17
P030,S25,S11,71
P031,S01,S02,29
P031,S03,S02,73
P031,S03,S06,39
P031,S03,S12,35
P031,S04,S12,13
P031,S05,S12,7
P031,S05,S13,105
P031,S07,S13,34
P031,S07,S15,46
P031,S07,S16,97
P031,S08,S16,15
P031,S08,S22,32
P031,S08,S24,53
P031,S09,S24,41
P031,S10,S24,5
P031,S11,S24,7
P032,S02,S01,58
P032,S04,S01,31
P032,S04,S03,20
P032,S05,S03,74
P032,S05,S07,31
P032,S05,S09,7
P032,S06,S09,22
P032,S06,S12,23
P032,S06,S15,24
P032,S08,S15,21
P032,S10,S15,37
P032,S10,S19,65
P032,S11,S19,19
P032,S11,S21,84
P032,S11,S22,18
P032,S13,S22,94
P032,S13,S24,64
P032,S14,S24,75
P033,S02,S01,70
P033,S04,S01,41
P033,S05,S01,6
P033,S05,S03,127
P033,S09,S03,1
P033,S09,S06,130
P033,S09,S07,25
P033,S11,S07,4
P033,S12,S07,2
P033,S13,S07,15
P033,S13,S08,27
P033,S13,S10,4
P033,S15,S10,33
P033,S15,S14,19
P033,S16,S14,98
P033,S16,S17,52
P033,S18,S17,19
P033,S18,S19,86
P033,S18,S21,31
P033,S20,S21,41
P033,S22,S21,18
P033,S22,S23,3
P033,S25,S23,19
P033,S25,S24,83
P034,S01,S03,4
P034,S01,S04,74
P034,S01,S06,43
P034,S02,S06,16
P034,S05,S06,44
P034,S05,S12,80
P034,S05,S13,26
P034,S07,S13,33
P034,S07,S15,33
P034,S07,S20,33
P034,S08,S20,42
P034,S08,S21,104
P034,S09,S21,42
P034,S09,S24,90
P034,S10,S24,44
P034,S11,S24,10
P034,S14,S24,16
P034,S14,S25,30
P035,S01,S06,121
P035,S01,S07,4
P035,S02,S07,53
P035,S02,S08,20
P035,S03,S08,120
P035,S03,S09,55
P035,S04,S09,57
P035,S05,S09,4
P035,S10,S09,48
P035,S10,S11,83
P035,S14,S11,36
P035,S14,S12,77
P035,S18,S12,42
P035,S18,S13,114
P035,S19,S13,16
P035,S19,S15,12
P035,S20,S15,42
P035,S21,S15,47
P035,S22,S15,70
P035,S22,S16,23
P035,S24,S16,11
P036,S01,S02,2
P036,S01,S03,81
P036,S05,S03,1
P036,S07,S03,11
P036,S07,S04,70
P036,S07,S06,74
P036,S10,S06,49
P036,S10,S08,3
P036,S10,S09,110
P036,S12,S09,34
P036,S13,S09,26
P036,S13,S11,16
P036,S13,S15,64
P036,S14,S15,6
P036,S19,S15,25
P036,S20,S15,12
P036,S23,S15,17
P036,S23,S16,71
P036,S23,S17,46
P036,S24,S17,82
P036,S24,S18,46
P036,S24,S21,29
P036,S25,S21,12
P036,S25,S22,40
P037,S02,S01,6
P037,S03,S01,47
P037,S03,S04,15
P037,S05,S04,32
P037,S05,S08,76
P037,S06,S08,95
P037,S07,S08,5
P037,S07,S09,45
P037,S07,S10,80
P037,S11,S10,10
P037,S13,S10,38
P037,S13,S12,6
P037,S14,S12,29
P037,S15,S12,31
P037,S15,S16,47
P037,S17,S16,104
P037,S17,S19,25
P037,S18,S19,82
P037,S20,S19,20
P037,S20,S22,67
P037,S21,S22,37
P037,S21,S24,77
P037,S23,S24,89
P038,S03,S01,94
P038,S04,S01,14
P038,S04,S02,19
P038,S04,S07,26
P038,S04,S08,7
P038,S05,S08,4
P038,S05,S11,50
P038,S06,S11,30
P038,S06,S14,24
P038,S09,S14,8
P038,S09,S17,104
P038,S10,S17,10
P038,S10,S18,30
P038,S10,S20,113
P038,S12,S20,10
P038,S12,S21,8
P038,S12,S22,7
P038,S13,S22,12
P038,S15,S22,58
P038,S16,S22,47
P038,S16,S23,28
P038,S16,S24,55
P038,S19,S24,81
P039,S01,S02,50
P039,S04,S02,40
P039,S05,S02,37
P039,S05,S03,36
P039,S07,S03,59
P039,S07,S06,7
P039,S07,S08,24
P039,S09,S08,135
P039,S09,S10,3
P039,S09,S11,37
P039,S13,S11,35
P039,S13,S12,107
P039,S17,S14,139
P039,S17,S15,1
P039,S20,S15,79
P039,S21,S15,90
P039,S21,S16,53
P039,S22,S16,42
P039,S25,S16,24
P039,S25,S18,6
P039,S25,S19,63
P040,S03,S01,16
P040,S03,S02,66
P040,S04,S02,39
P040,S04,S06,54
P040,S05,S06,54
P040,S05,S08,52
P040,S07,S08,85
P040,S07,S09,6
P040,S13,S09,104
P040,S16,S09,16
P040,S16,S10,8
P040,S18,S10,39
P040,S20,S10,12
P040,S22,S10,28
P040,S22,S11,36
P040,S23,S11,2
P040,S23,S12,6
P040,S23,S14,25
P040,S24,S14,26
P040,S24,S15,100
P040,S24,S17,17
P040,S24,S19,13
P041,S04,S01,26
P041,S05,S01,38
P041,S05,S02,10
P041,S09,S02,11
P041,S12,S02,3
P041,S14,S02,24
P041,S18,S02,30
P041,S19,S02,4
P041,S19,S03,16
P041,S19,S06,1
P041,S19,S07,10
P041,S20,S07,37
P041,S21,S07,1
P041,S21,S08,28
P041,S23,S08,17
P041,S23,S10,5
P041,S23,S11,27
P041,S25,S11,11
P041,S25,S13,14
P042,S02,S01,1
P042,S02,S05,22
P042,S02,S06,2
P042,S03,S06,3
P042,S03,S09,15
P042,S04,S09,1
P042,S04,S11,12
P042,S07,S11,4
P042,S07,S12,40
P042,S07,S13,11
P042,S08,S13,15
P042,S08,S14,5
P042,S10,S14,39
P042,S10,S20,14
P042,S10,S23,13
P042,S15,S23,24
P042,S16,S23,3
P042,S16,S25,2
P042,S17,S25,4
P042,S18,S25,28
P043,S03,S01,7
P043,S08,S01,18
P043,S09,S01,17
P043,S09,S02,14
P043,S16,S02,3
P043,S16,S04,4
P043,S17,S04,17
P043,S18,S04,12
P043,S19,S04,3
P043,S19,S05,8
P043,S19,S06,5
P043,S20,S06,6
P043,S21,S06,12
P043,S23,S06,6
P043,S23,S11,1
P043,S25,S11,2
P044,S01,S04,24
P044,S01,S05,51
P044,S02,S05,2
P044,S03,S05,3
P044,S03,S06,2
P044,S07,S06,10
P044,S07,S10,24
P044,S07,S11,11
P044,S08,S11,4
P044,S08,S12,7
P044,S09,S12,26
P044,S09,S14,9
P044,S09,S15,12
P044,S13,S15,33
P044,S16,S15,9
P044,S16,S18,7
P044,S16,S24,13
P044,S17,S24,21
P044,S19,S24,14
P044,S19,S25,14
P044,S20,S25,30
P045,S02,S01,44
P045,S02,S03,30
P045,S05,S03,11
P045,S08,S03,15
P045,S08,S04,43
P045,S08,S06,5
P045,S09,S06,14
P045,S09,S07,25
P045,S09,S11,7
P045,S10,S11,18
P045,S14,S11,3
P045,S15,S11,6
P045,S15,S12,35
P045,S17,S12,4
P045,S17,S13,23
P045,S19,S13,14
P045,S21,S13,23
P045,S22,S13,4
P045,S22,S16,15
P045,S23,S16,11
P045,S23,S18,7
P045,S23,S20,14
P045,S24,S20,22
P045,S24,S25,16
P046,S01,S02,30
P046,S03,S02,16
P046,S03,S04,30
P046,S06,S04,17
P046,S06,S05,4
P046,S07,S05,54
P046,S11,S05,6
P046,S11,S08,17
P046,S11,S09,4
P046,S11,S10,8
P046,S12,S10,28
P046,S12,S15,16
P046,S13,S15,10
P046,S14,S15,18
P046,S14,S16,20
P046,S17,S16,14
P046,S18,S16,10
P046,S18,S23,11
P046,S19,S23,5
P046,S20,S23,35
P046,S20,S25,4
P046,S21,S25,8
P047,S04,S01,35
P047,S04,S02,16
P047,S04,S03,25
P047,S04,S05,5
P047,S04,S07,6
P047,S06,S07,9
P047,S06,S08,16
P047,S11,S08,8
P047,S13,S08,5
P047,S13,S09,12
P047,S13,S10,19
P047,S15,S10,21
P047,S17,S10,17
P047,S20,S10,1
P047,S20,S12,16
P047,S22,S14,14
P047,S22,S16,5
P047,S23,S16,27
P047,S23,S18,3
P048,S01,S03,4
P048,S02,S03,39
P048,S02,S04,8
P048,S05,S04,6
P048,S08,S04,6
P048,S08,S06,44
P048,S11,S06,16
P048,S12,S06,24
P048,S12,S07,4
P048,S13,S07,52
P048,S16,S07,11
P048,S16,S09,25
P048,S17,S09,6
P048,S17,S10,25
P048,S22,S10,26
P048,S22,S14,1
P048,S23,S14,13
P048,S23,S15,36
P048,S23,S18,7
P048,S24,S18,28
P048,S24,S19,8
P048,S24,S20,26
P048,S25,S20,13
P048,S25,S21,4
P049,S01,S02,9
P049,S04,S02,41
P049,S04,S03,33
P049,S07,S03,30
P049,S07,S05,26
P049,S11,S05,3
P049,S11,S06,23
P049,S14,S08,21
P049,S16,S08,17
P049,S16,S09,16
P049,S21,S09,38
P049,S24,S09,7
P049,S24,S10,12
P050,S03,S01,12
P050,S04,S01,24
P050,S05,S01,12
P050,S06,S01,10
P050,S06,S02,13
P050,S08,S02,63
P050,S09,S02,2
P050,S09,S07,48
P050,S12,S07,8
P050,S12,S10,8
P050,S13,S10,40
P050,S13,S14,4
P050,S16,S15,9
P050,S20,S15,19
P050,S21,S15,7
P050,S21,S17,1
P050,S21,S18,2
P050,S22,S18,17
P050,S22,S19,11
P050,S24,S19,11
P050,S24,S23,36
P050,S24,S25,4
P051,S01,S02,39
P051,S01,S05,47
P051,S03,S05,17
P051,S03,S07,7
P051,S04,S07,18
P051,S04,S08,36
P051,S06,S08,1
P051,S09,S08,30
P051,S09,S10,13
P051,S12,S10,23
P051,S15,S10,13
P051,S15,S11,17
P051,S16,S11,9
P051,S19,S11,11
P051,S19,S13,9
P051,S21,S13,27
P051,S23,S13,17
P051,S23,S14,25
P051,S23,S17,23
P052,S01,S02,51
P052,S06,S02,11
P052,S06,S03,54
P052,S07,S03,12
P052,S07,S05,50
P052,S08,S05,13
P052,S08,S14,4
P052,S08,S18,24
P052,S08,S21,2
P052,S08,S23,21
P052,S09,S23,23
P052,S09,S25,11
P053,S01,S08,20
P053,S01,S10,2
P053,S02,S10,12
P053,S02,S12,1
P053,S02,S13,12
P053,S03,S13,1
P053,S04,S13,4
P053,S05,S14,12
P053,S05,S16,2
P053,S06,S16,8
P053,S07,S18,20
P053,S09,S19,11
P053,S09,S20,2
P053,S09,S21,9
P053,S11,S21,1
P053,S11,S25,2
P053,S15,S25,7
P054,S01,S03,12
P054,S01,S04,1
P054,S01,S05,6
P054,S01,S06,34
P054,S02,S06,11
P054,S02,S10,7
P054,S02,S12,4
P054,S02,S13,5
P054,S02,S14,14
P054,S07,S15,3
P054,S08,S15,2
P054,S08,S17,16
P054,S09,S17,2
P054,S11,S17,2
P054,S11,S18,9
P054,S16,S18,12
P054,S16,S19,6
P054,S20,S19,5
P054,S22,S19,1
P054,S22,S21,13
P054,S24,S21,4
P054,S24,S25,4
P055,S01,S04,6
P055,S02,S04,8
P055,S03,S04,6
P055,S07,S04,2
P055,S07,S05,4
P055,S08,S05,1
P055,S09,S05,12
P055,S10,S06,18
P055,S13,S06,13
P055,S15,S06,1
P055,S15,S11,2
P055,S15,S12,4
P055,S17,S12,1
P055,S17,S16,3
P055,S17,S20,4
P055,S18,S20,3
P055,S18,S22,2
P055,S18,S23,11
P055,S18,S24,3
P055,S19,S24,6
P055,S21,S24,5
P055,S25,S24,2
P056,S01,S03,15
P056,S01,S07,2
P056,S01,S10,1
P056,S01,S11,17
P056,S01,S13,16
P056,S01,S14,4
P056,S01,S15,2
P056,S02,S15,12
P056,S02,S16,5
P056,S02,S18,3
P056,S02,S19,19
P056,S02,S21,3
P056,S02,S24,8
P056,S04,S24,13
P057,S02,S01,34
P057,S03,S01,9
P057,S05,S01,3
P057,S05,S04,9
P057,S09,S04,16
P057,S10,S06,7
P057,S12,S06,14
P057,S14,S06,15
P057,S16,S06,1
P057,S19,S06,14
P057,S20,S06,3
P057,S20,S07,12
P057,S20,S08,1
P057,S22,S08,1
P057,S25,S08,5
P058,S06,S01,12
P058,S08,S01,2
P058,S12,S01,21
P058,S13,S01,6
P058,S13,S02,4
P058,S15,S02,18
P058,S17,S02,3
P058,S18,S02,8
P058,S20,S02,9
P058,S20,S03,5
P058,S20,S04,7
P058,S22,S04,10
P058,S23,S04,1
P058,S24,S04,9
P059,S02,S01,53
P059,S03,S01,8
P059,S03,S09,2
P059,S03,S10,10
P059,S04,S10,4
P059,S04,S12,16
P059,S05,S12,1
P059,S05,S15,5
P059,S06,S15,18
P059,S06,S16,15
P059,S06,S18,13
P059,S06,S19,1
P059,S06,S21,12
P059,S07,S21,7
P059,S07,S22,1
P059,S08,S22,18
P059,S08,S23,3
P059,S11,S23,3
P059,S11,S24,3
P059,S13,S24,10
P059,S14,S24,1
P059,S14,S25,3
P059,S17,S25,2
P060,S02,S01,5
P060,S06,S01,10
P060,S07,S01,8
P060,S07,S03,4
P060,S08,S03,1
P060,S11,S03,3
P060,S12,S03,9
P060,S12,S04,1
P060,S13,S04,7
P060,S14,S04,6
P060,S16,S04,11
P060,S18,S04,18
P060,S18,S05,2
P060,S19,S05,4
P060,S21,S05,4
P060,S23,S05,4
P060,S24,S05,5
P060,S24,S09,3
P060,S25,S09,14
P060,S25,S10,2
